sample_size,dataset_id,passed_safety_02,passed_safety_01,passed_safety_005,passed_safety_001,sa_02_accuracy,sa_01_accuracy,sa_005_accuracy,sa_001_accuracy,sa_02_disc_stat,sa_01_disc_stat,sa_005_disc_stat,sa_001_disc_stat
5000,49,True,True,True,True,0.7684,0.6528,0.5338,0.5164,0.1749,0.0957,0.0055,0.0
500,45,True,True,True,True,0.64,0.52,0.506,0.512,0.1119,0.0412,0.0,
1000,41,True,True,True,True,0.513,0.476,0.476,0.476,0.0553,0.0,0.0,0.0
5000,44,True,True,False,False,0.7828,0.5122,0.5802,0.5114,0.1886,0.005,0.0788,0.024
1000,13,True,True,True,True,0.769,0.62,0.624,0.745,0.1417,0.0233,0.123,0.2396
500,2,True,True,True,True,0.51,0.51,0.51,0.51,0.0,0.0,0.0,0.0
5000,41,True,True,True,True,0.7664,0.7164,0.607,0.5026,0.165,0.2148,0.0897,0.0
500,30,True,True,True,True,0.49,0.49,0.49,0.49,0.0,0.0,0.0,0.0
500,21,True,False,False,False,0.462,0.462,0.462,0.462,0.0,0.0,0.0,0.0
500,48,True,True,True,False,0.532,0.532,0.468,0.468,0.0,0.0,0.0,0.0
500,36,True,True,True,True,0.51,0.51,0.51,0.51,0.0,0.0,0.0,0.0
1000,35,True,True,True,False,0.515,0.487,0.515,0.515,0.0,0.0002,0.0,0.0
5000,32,True,True,True,False,0.7744,0.665,0.5194,0.5062,0.1342,0.1294,0.0278,0.0
5000,1,True,True,True,False,0.6494,0.751,0.6126,0.5274,0.0582,0.1976,0.0832,0.0431
2500,14,True,True,True,False,0.5972,0.5088,0.5088,0.5088,0.0095,0.0,0.0,0.0
5000,43,True,True,True,False,0.6204,0.5004,0.5004,0.5004,0.0564,0.0,0.0,0.0
500,41,True,False,False,False,0.506,0.506,0.506,0.506,0.0,0.0,0.0,0.0
1000,27,True,True,True,True,0.635,0.495,0.49,0.49,0.182,,0.0,0.0
1000,42,True,True,True,True,0.508,0.499,0.499,0.499,0.01,0.0,0.0,0.0
2500,40,True,True,True,True,0.776,0.5812,0.488,0.4868,0.2412,0.0994,0.0017,0.0
500,31,True,True,True,True,0.472,0.472,0.472,0.472,0.0,0.0,0.0,0.0
5000,22,True,True,True,False,0.6526,0.7684,0.6942,0.5,0.0881,0.1542,0.1765,0.0
2500,40,True,True,True,True,0.776,0.5812,0.488,0.4868,0.2412,0.0994,0.0017,0.0
2500,32,True,True,True,True,0.768,0.6796,0.5012,0.5012,0.1854,0.1893,0.0,0.0
1000,31,True,True,True,True,0.749,0.565,0.701,0.509,0.1995,0.0331,0.0672,0.0
5000,34,True,True,True,False,0.6428,0.506,0.5008,0.5008,0.0417,0.0059,0.0,0.0
2500,10,True,True,True,True,0.7552,0.68,0.51,0.4896,0.2387,0.174,0.0248,0.0
5000,31,True,True,True,False,0.609,0.5128,0.5128,0.5128,0.0823,0.0,0.0,0.0
500,29,True,True,True,True,0.558,0.526,0.526,0.526,0.0467,0.0,0.0,0.0
500,4,True,True,True,True,0.52,0.52,0.52,0.52,0.0,0.0,0.0,0.0
2500,20,True,True,True,True,0.7092,0.502,0.5204,0.502,0.1801,0.0,0.0535,0.0
5000,47,True,True,True,False,0.765,0.7088,0.5232,0.5026,0.1791,0.1936,0.0364,0.0
500,6,True,False,False,False,0.508,0.508,0.508,0.508,0.0,0.0,0.0,0.0
5000,35,True,True,True,False,0.772,0.6862,0.5276,0.4994,0.1789,0.1915,0.0502,0.0
5000,40,True,True,True,False,0.6078,0.7218,0.5728,0.4866,0.064,0.2476,0.0846,0.0
5000,40,True,True,True,False,0.6078,0.7218,0.5728,0.4866,0.064,0.2476,0.0846,0.0
5000,45,True,True,True,False,0.7758,0.6494,0.5246,0.5104,0.1788,0.1091,0.0298,0.0
1000,50,True,True,True,True,0.709,0.638,0.52,0.486,0.26,0.1654,0.0587,0.0
1000,24,True,True,True,True,0.56,0.508,0.508,0.492,0.0319,0.0,0.0,0.0
1000,32,True,True,True,False,0.525,0.486,0.514,0.514,0.0804,0.0,0.0,0.0
5000,14,True,True,True,False,0.6358,0.742,0.497,0.51,0.071,0.2368,0.0,0.0139
5000,18,True,True,True,True,0.7558,0.645,0.5756,0.502,0.1513,0.0964,0.0736,0.0
2500,4,True,True,True,False,0.7536,0.5528,0.5172,0.516,0.1488,0.0348,,0.0
1000,48,True,True,True,True,0.574,0.523,0.523,0.523,0.0217,0.0,0.0,0.0
5000,45,True,True,True,False,0.7758,0.6494,0.5246,0.5104,0.1788,0.1091,0.0298,0.0
5000,1,True,True,True,False,0.6494,0.751,0.6126,0.5274,0.0582,0.1976,0.0832,0.0431
2500,33,True,True,True,True,0.6736,0.6456,0.5032,0.4956,0.1811,0.1647,0.0183,0.0
1000,21,True,True,True,True,0.507,0.507,0.507,0.507,0.0,0.0,0.0,0.0
2500,1,True,True,True,False,0.7584,0.632,0.5196,0.5148,0.1689,0.0846,0.0075,0.0
5000,38,True,True,True,True,0.7668,0.7518,0.6858,0.4982,0.1463,0.161,0.1589,0.0
2500,39,True,True,True,False,0.76,0.6796,0.5064,0.5064,0.1089,0.1248,0.0,0.0
1000,38,True,True,True,True,0.618,0.519,0.52,0.519,0.1081,0.0,,0.0
1000,9,True,True,True,True,0.635,0.508,0.508,0.508,0.1031,0.0,0.0,0.0
5000,48,True,True,True,False,0.6184,0.5146,0.5078,0.5078,0.0757,0.001,0.0,0.0
2500,21,True,True,True,True,0.7568,0.588,0.5112,0.51,0.2427,0.1004,,0.0
1000,18,True,True,True,True,0.598,0.512,0.485,0.482,0.1676,0.0709,,0.0
500,18,True,True,True,True,0.664,0.49,0.628,0.726,0.1437,0.0208,0.1498,0.1466
5000,7,True,True,True,False,0.7702,0.7404,0.6002,0.4962,0.1458,0.1975,0.0909,0.0
5000,26,True,True,True,False,0.7678,0.6906,0.5388,0.5022,0.1572,0.1985,0.0398,0.0
5000,16,True,True,True,False,0.5934,0.4932,0.4874,0.4874,0.0745,0.0034,0.0,0.0
1000,20,True,True,True,True,0.726,0.638,0.541,0.749,0.1553,0.1327,0.012,0.1285
1000,40,True,True,True,True,0.629,0.591,0.531,0.475,0.0776,0.0782,,0.0
5000,39,True,True,True,False,0.7764,0.6916,0.5586,0.5162,0.2079,0.1296,0.0492,0.0
5000,49,True,True,True,True,0.7684,0.6528,0.5338,0.5164,0.1749,0.0957,0.0055,0.0
1000,37,True,True,True,True,0.503,0.503,0.503,0.503,0.0,0.0,0.0,0.0
500,11,True,True,True,True,0.48,0.48,0.48,0.48,0.0,0.0,0.0,0.0
500,4,True,True,True,True,0.52,0.52,0.52,0.52,0.0,0.0,0.0,0.0
5000,39,True,True,True,False,0.7764,0.6916,0.5586,0.5162,0.2079,0.1296,0.0492,0.0
5000,23,True,True,True,False,0.775,0.6664,0.5284,0.512,0.2194,0.1699,0.0165,
500,43,True,True,True,True,0.506,0.472,0.47,0.47,0.089,,0.0,0.0
500,46,True,True,True,True,0.682,0.504,0.504,0.504,0.2493,0.0,0.0,0.0
500,50,True,True,True,True,0.522,0.522,0.522,0.522,0.0,0.0,0.0,0.0
